,手數,玩家,行為,進張,手牌,吃,碰,槓,messageA,messageB,messageC,messageD,Total_messageA,talkA,Total_messageB,talkB,Total_messageC,talkC,Total_messageD,talkD
0,1,2,摸,5A,3A 8A 3B 3B 4B 7B 0C 4C 5C 6C 7C 0D 1D ,,,,玩家C摸牌,玩家C摸牌,"你摸6萬手牌為:4萬,9萬,4條,4條,5條,8條,1筒,5筒,6筒,7筒,8筒,中,發",玩家C摸牌,,A1,,B1,,C1,,D1
1,1,2,丟,0D,3A 5A 8A 3B 3B 4B 7B 0C 4C 5C 6C 7C 1D ,,,,玩家C丟中,玩家C丟中,"你丟中手牌為:4萬,6萬,9萬,4條,4條,5條,8條,1筒,5筒,6筒,7筒,8筒,發",玩家C丟中,,A2,,B2,,C2,,D2
2,2,1,摸,1E,1A 2B 4B 5B 6B 0C 1C 1C 5C 8C 0D 2D 2E ,,,,玩家B摸牌,"你摸南手牌為:2萬,3條,5條,6條,7條,1筒,2筒,2筒,6筒,9筒,中,白,西",玩家B摸牌,玩家B摸牌,,A3,,B3,,C3,,D3
3,2,1,丟,0D,1A 2B 4B 5B 6B 0C 1C 1C 5C 8C 2D 1E 2E ,,,,玩家B丟中,"你丟中手牌為:2萬,3條,5條,6條,7條,1筒,2筒,2筒,6筒,9筒,白,南,西",玩家B丟中,玩家B丟中,,A4,,B4,,C4,,D4
4,3,0,摸,2C,1A 7A 8A 0B 0B 4C 7C 8C 8C 0D 0E 1E 3E ,,,,"你摸3筒手牌為:2萬,8萬,9萬,1條,1條,5筒,8筒,9筒,9筒,中,東,南,北",玩家A摸牌,玩家A摸牌,玩家A摸牌,,A5,,B5,,C5,,D5
5,3,0,丟,1A,7A 8A 0B 0B 2C 4C 7C 8C 8C 0D 0E 1E 3E ,,,,"你丟2萬手牌為:8萬,9萬,1條,1條,3筒,5筒,8筒,9筒,9筒,中,東,南,北",玩家A丟2萬,玩家A丟2萬,玩家A丟2萬,,A6,,B6,,C6,,D6
6,4,3,摸,0E,0A 2A 3A 4A 5A 5A 6A 8A 2B 5B 7B 0C 6C ,,,,玩家D摸牌,玩家D摸牌,玩家D摸牌,"你摸東手牌為:1萬,3萬,4萬,5萬,6萬,6萬,7萬,9萬,3條,6條,8條,1筒,7筒",,A7,,B7,,C7,,D7
7,4,3,丟,2B,0A 2A 3A 4A 5A 5A 6A 8A 5B 7B 0C 6C 0E ,,,,玩家D丟3條,玩家D丟3條,玩家D丟3條,"你丟3條手牌為:1萬,3萬,4萬,5萬,6萬,6萬,7萬,9萬,6條,8條,1筒,7筒,東",,A8,,B8,,C8,,D8
8,5,2,摸,3C,3A 5A 8A 3B 3B 4B 7B 0C 4C 5C 6C 7C 1D ,,,,玩家C摸牌,玩家C摸牌,"你摸4筒手牌為:4萬,6萬,9萬,4條,4條,5條,8條,1筒,5筒,6筒,7筒,8筒,發",玩家C摸牌,,A9,,B9,,C9,,D9
9,5,2,丟,1D,3A 5A 8A 3B 3B 4B 7B 0C 3C 4C 5C 6C 7C ,,,,玩家C丟發,玩家C丟發,"你丟發手牌為:4萬,6萬,9萬,4條,4條,5條,8條,1筒,4筒,5筒,6筒,7筒,8筒",玩家C丟發,,A10,,B10,,C10,,D10
10,6,1,摸,5B,1A 2B 4B 5B 6B 0C 1C 1C 5C 8C 2D 1E 2E ,,,,玩家B摸牌,"你摸6條手牌為:2萬,3條,5條,6條,7條,1筒,2筒,2筒,6筒,9筒,白,南,西",玩家B摸牌,玩家B摸牌,,A11,,B11,,C11,,D11
11,6,1,丟,8C,1A 2B 4B 5B 5B 6B 0C 1C 1C 5C 2D 1E 2E ,,,,玩家B丟9筒,"你丟9筒手牌為:2萬,3條,5條,6條,6條,7條,1筒,2筒,2筒,6筒,白,南,西",玩家B丟9筒,玩家B丟9筒,,A12,,B12,,C12,,D12
12,7,0,碰,8C,7A 8A 0B 0B 2C 4C 7C 0D 0E 1E 3E ,,26,,"你碰9筒手牌為:8萬,9萬,1條,1條,3筒,5筒,8筒,中,東,南,北",玩家A碰9筒,玩家A碰9筒,玩家A碰9筒,,A13,,B13,,C13,,D13
13,7,0,丟,7C,7A 8A 0B 0B 2C 4C 0D 0E 1E 3E ,,26,,"你丟8筒手牌為:8萬,9萬,1條,1條,3筒,5筒,中,東,南,北",玩家A丟8筒,玩家A丟8筒,玩家A丟8筒,,A14,,B14,,C14,,D14
14,8,3,摸,1B,0A 2A 3A 4A 5A 5A 6A 8A 5B 7B 0C 6C 0E ,,,,玩家D摸牌,玩家D摸牌,玩家D摸牌,"你摸2條手牌為:1萬,3萬,4萬,5萬,6萬,6萬,7萬,9萬,6條,8條,1筒,7筒,東",,A15,,B15,,C15,,D15
15,8,3,丟,0E,0A 2A 3A 4A 5A 5A 6A 8A 1B 5B 7B 0C 6C ,,,,玩家D丟東,玩家D丟東,玩家D丟東,"你丟東手牌為:1萬,3萬,4萬,5萬,6萬,6萬,7萬,9萬,2條,6條,8條,1筒,7筒",,A16,,B16,,C16,,D16
16,9,2,摸,5C,3A 5A 8A 3B 3B 4B 7B 0C 3C 4C 5C 6C 7C ,,,,玩家C摸牌,玩家C摸牌,"你摸6筒手牌為:4萬,6萬,9萬,4條,4條,5條,8條,1筒,4筒,5筒,6筒,7筒,8筒",玩家C摸牌,,A17,,B17,,C17,,D17
17,9,2,丟,3B,3A 5A 8A 3B 4B 7B 0C 3C 4C 5C 5C 6C 7C ,,,,玩家C丟4條,玩家C丟4條,"你丟4條手牌為:4萬,6萬,9萬,4條,5條,8條,1筒,4筒,5筒,6筒,6筒,7筒,8筒",玩家C丟4條,,A18,,B18,,C18,,D18
